Table,Row,Column,Text
0,0,0,"[' ', 'N', 'документа', '']"
0,0,1,"[' ', 'Дата', '']"
0,0,2,"[' ', 'Списано', 'с', 'лицевого', 'счета', '']"
0,0,3,"[' ', 'в', 'том', 'числе', '']"
0,1,0,"[' ', 'Сумма', 'за', 'услуги', 'соисполнителей', '']"
0,1,1,"[' ', 'Сумма', 'за', 'услуги', 'ПАО', '""ТрансКонтейнер""', '']"
0,1,2,"[' ', 'Штрафы', 'ПАО', '""ТрансКонтейнер""', '']"
0,1,3,"[' ', 'Штрафы', 'других', 'соисполнителей', '']"
0,2,0,"[' ', 'НДС', '20(18)%', '']"
0,2,1,"[' ', 'НДС', '0%', '']"
0,2,2,"[' ', 'без', 'НДС', '']"
0,2,3,"[' ', 'всего', '']"
0,2,4,"[' ', 'НДС', '20(18)%', '']"
0,2,5,"[' ', 'НДС', '0%', '']"
0,2,6,"[' ', 'без', 'НДС', '']"
0,2,7,"[' ', 'всего', '']"
0,3,0,"[' ', '100722/12', '']"
0,3,1,"[' ', '29.02.2024', '']"
0,3,2,"[' ', '9', '948,00', '']"
0,3,3,[]
0,3,4,[]
0,3,5,[]
0,3,6,[]
0,3,7,"[' ', '9', '948,00', '']"
0,3,8,[]
0,3,9,[]
0,3,10,"[' ', '9', '948,00', '']"
0,3,11,[]
0,3,12,[]
0,4,0,"[' ', '100786/12', '']"
0,4,1,"[' ', '05.03.2024', '']"
0,4,2,"[' ', '11', '478,00', '']"
0,4,3,[]
0,4,4,[]
0,4,5,[]
0,4,6,[]
0,4,7,"[' ', '11', '478,00', '']"
0,4,8,[]
0,4,9,[]
0,4,10,"[' ', '11', '478,00', '']"
0,4,11,[]
0,4,12,[]
0,5,0,"[' ', '101023/12', '']"
0,5,1,"[' ', '20.03.2024', '']"
0,5,2,"[' ', '2520,00', '']"
0,5,3,[]
0,5,4,[]
0,5,5,[]
0,5,6,[]
0,5,7,"[' ', '2520,00', '']"
0,5,8,[]
0,5,9,[]
0,5,10,"[' ', '2520,00', '']"
0,5,11,[]
0,5,12,[]
0,6,0,"[' ', 'Итого', 'списано', '']"
0,6,1,"[' ', '23', '946,00', '']"
0,6,2,[]
0,6,3,[]
0,6,4,[]
0,6,5,[]
0,6,6,"[' ', '23', '946,00', '']"
0,6,7,[]
0,6,8,[]
0,6,9,"[' ', '23', '946,00', '']"
0,6,10,[]
0,6,11,[]
0,7,0,"[' ', 'Остаток', 'средств', 'КЛИЕНТА', 'на', 'конец', 'периода', '']"
0,7,1,"[' ', '2', '046,47', '']"
1,0,0,"[' ', 'N', 'документа', '']"
1,0,1,"[' ', 'Дата', '']"
1,0,2,"[' ', 'Зачислено', 'на', 'лицевой', 'счет', '']"
1,0,3,"[' ', 'в', 'том', 'числе', '']"
1,1,0,"[' ', 'Сумма', 'за', 'услуги', 'соисполнителей', '']"
1,1,1,"[' ', 'Сумма', 'за', 'услуги', 'ПАО', '""ТрансКонтейнер""', '']"
1,1,2,"[' ', 'Штрафы', 'ПАО', '""ТрансКонтейнер""', '']"
1,1,3,"[' ', 'Штрафы', 'других', 'соисполнителей', '']"
1,2,0,"[' ', 'НДС', '20(18)%', '']"
1,2,1,"[' ', 'НДС', '0%', '']"
1,2,2,"[' ', 'без', 'НДС', '']"
1,2,3,"[' ', 'всего', '']"
1,2,4,"[' ', 'НДС', '20(18)%', '']"
1,2,5,"[' ', 'НДС', '0%', '']"
1,2,6,"[' ', 'без', 'НДС', '']"
1,2,7,"[' ', 'всего', '']"
1,3,0,[]
1,3,1,"[' ', '28.02.2024', '']"
1,3,2,"[' ', '0,00', '']"
1,3,3,[]
1,3,4,[]
1,3,5,[]
1,3,6,[]
1,3,7,"[' ', '25', '000,00', '']"
1,3,8,"[' ', '-25', '000,00', '']"
1,3,9,[]
1,3,10,[]
1,3,11,[]
1,3,12,[]
1,4,0,"[' ', '677', '']"
1,4,1,"[' ', '26.03.2024', '']"
1,4,2,"[' ', '-470', '000,00', '']"
1,4,3,[]
1,4,4,[]
1,4,5,[]
1,4,6,[]
1,4,7,[]
1,4,8,"[' ', '-470', '000,00', '']"
1,4,9,[]
1,4,10,"[' ', '-470', '000,00', '']"
1,4,11,[]
1,4,12,[]
1,5,0,"[' ', 'Итого', 'поступило', '']"
1,5,1,"[' ', '-470', '000,00', '']"
1,5,2,[]
1,5,3,[]
1,5,4,[]
1,5,5,[]
1,5,6,"[' ', '25', '000,00', '']"
1,5,7,"[' ', '-495', '000,00', '']"
1,5,8,[]
1,5,9,"[' ', '-470', '000,00', '']"
1,5,10,[]
1,5,11,[]
2,0,0,"[' ', 'Остаток', 'средств', 'КЛИЕНТА', 'на', 'начало', 'периода', '']"
2,0,1,"[' ', '495', '992,47', '']"
